month,SPY,TLT,BAB,VOL,rf
2019-11-01,0.036170485,-0.004911518,-0.0281,-0.008551373,0.0012
2013-02-01,0.013494303,0.012934469,0.0187,-0.049477978,0.0
2008-05-01,0.012861845,-0.024559872,0.0085,0.006353632,0.0018
2015-02-01,0.057365243,-0.058042237,-0.0209,-0.002007303,0.0
2006-05-01,-0.028781697,0.001218952,0.0025,0.005858313,0.0043
2014-02-01,0.04552083,0.008472587,-0.0015,-0.018946269,0.0
2005-08-01,-0.009107837,0.033583311,0.0027,0.004489948,0.003
2015-11-01,0.002900252,-0.008687659,0.0138,0.021367443,0.0
2009-12-01,0.01944675,-0.062251255,0.0097,0.007725561,0.0001
2015-05-01,0.012763741,-0.01813208,0.0263,-0.02037626,0.0
2014-06-01,0.020456777,-0.001955957,-0.004,-0.056459889,0.0
2018-03-01,-0.025513039,0.031125431,0.026,0.038340019,0.0011
2015-08-01,-0.060165671,3.42e-05,-0.016,0.045352908,0.0
2008-01-01,-0.059954296,0.020471644,-0.0244,0.009336241,0.0021
2012-04-01,-0.006343019,0.046540566,0.0289,0.006111318,0.0
2010-09-01,0.088858763,-0.022508837,-0.0119,0.008445378,0.0001
2004-04-01,-0.015685615,-0.062334515,0.0002,0.006125572,0.0008
2009-05-01,0.055704095,-0.03580918,0.0648,0.010305499,0.0
2013-01-01,0.051696653,-0.038647739,0.044,-0.048546557,0.0
2021-03-01,0.043653858,-0.051889736,-0.0295,0.006913094,0.0
2010-11-01,0.000102988,-0.012639346,-0.005,0.008388363,0.0001
2011-08-01,-0.054372938,0.099746968,0.0075,0.011267631,0.0001
2003-03-01,0.009345697,-0.016743079,0.0107,0.010387458,0.001
2014-04-01,0.007287563,0.02198366,0.0025,0.020816474,0.0
2008-12-01,0.010755043,0.134110423,-0.0757,0.014253802,0.0
2007-03-01,0.01110809,-0.017547189,0.0006,0.005216892,0.0043
2021-08-01,0.030281855,-0.002612358,0.0039,0.005872566,0.0
2022-02-01,-0.029961672,-0.016364891,-0.0206,0.010743803,0.0
2014-11-01,0.026783117,0.029238246,0.0248,-0.030792923,0.0
2005-05-01,0.031648959,0.03053524,-0.0186,0.004735826,0.0024
2018-04-01,0.003757533,-0.01960556,0.0013,0.032431406,0.0014
2022-01-01,-0.051802583,-0.038487508,-0.0042,0.008848048,0.0
2016-08-01,0.001330292,-0.00913501,-0.018,0.007132636,0.0002
2006-07-01,0.006088628,0.020925321,0.0202,0.005327358,0.004
2008-10-01,-0.167891913,-0.019792459,-0.0534,0.021341505,0.0008
2011-11-01,-0.00227183,0.030482895,0.0058,0.009906392,0.0
2003-10-01,0.05634099,-0.031034503,0.0037,0.005737155,0.0007
2006-11-01,0.018887906,0.023844844,0.0149,0.003887724,0.0042
2019-02-01,0.031960273,-0.012625053,0.0009,-0.002627244,0.0018
2004-03-01,-0.015041041,0.015255449,0.051,0.005965216,0.0009
2017-02-01,0.039551107,0.016123216,0.0206,-0.034631787,0.0004
2016-01-01,-0.049704042,0.052182556,0.0069,0.059755377,0.0001
2017-11-01,0.030545294,0.007908342,0.0196,-0.022716254,0.0008
2005-02-01,0.02094037,-0.013305154,0.0341,0.004304648,0.0016
2004-12-01,0.033874021,0.027630827,0.0154,0.004735826,0.0016
2019-12-01,0.029997777,-0.028754557,-0.0029,-0.013828696,0.0014
2004-09-01,0.010635588,0.010754499,0.0305,0.004753643,0.0011
2012-05-01,-0.059987833,0.084456368,0.0237,0.008573662,0.0001
2006-08-01,0.023666925,0.031643404,-0.0053,0.004386608,0.0042
2018-11-01,0.020266472,0.018796548,-0.003,0.048907292,0.0018
2021-09-01,-0.04651579,-0.029466967,-0.0225,0.008245824,0.0
2005-04-01,-0.019031318,0.038908156,0.0148,0.005455643,0.0021
2018-05-01,0.023967568,0.022005827,0.0103,0.008908917,0.0014
2017-10-01,0.023243478,-0.000461472,0.0026,-0.040842925,0.0009
2012-09-01,0.025578421,-0.023203912,0.0077,0.005605308,0.0001
2009-04-01,0.095444468,-0.068359418,-0.077,0.013006594,0.0001
2010-10-01,0.037909958,-0.046772663,0.0207,0.007554515,0.0001
2009-07-01,0.075400187,0.0041946,-0.036,0.009236464,0.0001
2021-02-01,0.027505292,-0.057653721,-0.0189,0.009959844,0.0
2020-07-01,0.056297389,0.044173254,0.0636,0.0087162,0.0001
2008-11-01,-0.071548579,0.144952783,-0.0357,0.019698754,0.0003
2012-06-01,0.040981841,-0.01537091,0.0104,0.006086373,0.0
2007-01-01,0.015023792,-0.010517982,0.0146,0.003713115,0.0044
2014-09-01,-0.01408687,-0.019524908,0.0254,-0.03654876,0.0
2003-09-01,-0.01076808,0.055689776,0.018,0.008096159,0.0008
2008-03-01,-0.004351231,0.016920906,-0.0671,0.009125997,0.0017
2011-12-01,0.010292598,0.034124096,0.0125,0.008338474,0.0
2020-09-01,-0.037928926,0.005108962,0.0132,0.009396819,0.0001
2016-03-01,0.067429294,-5.7e-05,-0.0249,0.050055607,0.0002
2012-07-01,0.013801266,0.037683298,0.0098,0.006745612,0.0
2007-09-01,0.037071725,0.002733723,0.0162,0.006414211,0.0032
2019-03-01,0.019307349,0.053594794,0.0036,0.024466309,0.0019
2015-06-01,-0.019416245,-0.041351099,0.0206,-0.012835003,0.0
2007-04-01,0.044157527,0.008249649,0.0085,0.005067227,0.0044
2007-08-01,0.015131837,0.018573942,-0.0289,0.008331347,0.0042
2018-02-01,-0.036857793,-0.031120792,-0.0185,0.039460019,0.0011
2003-12-01,0.052315298,0.012031871,0.0646,0.006524677,0.0008
2015-10-01,0.084173876,-0.005153838,-0.0097,0.046305251,0.0
2021-05-01,0.006888527,0.000526785,-0.0074,0.005972343,0.0
2003-07-01,0.01757061,-0.10307169,0.0055,0.006945165,0.0007
2009-10-01,-0.018583743,-0.024424794,0.0084,0.01093623,0.0
2004-01-01,0.01812472,0.019920319,-0.0152,0.005926018,0.0007
2017-05-01,0.01400931,0.020871699,0.0238,-0.00693308,0.0006
2016-10-01,-0.018241345,-0.042677364,0.0087,0.007110279,0.0002
2016-12-01,0.019562563,-0.005815448,0.0368,0.008132763,0.0003
2005-03-01,-0.017735991,-0.00687061,0.0062,0.004995958,0.0021
2008-08-01,0.014402158,0.031527747,-0.014,0.007358525,0.0013
2005-12-01,0.000223634,0.028496563,0.015,0.004301085,0.0032
2005-06-01,0.001252713,0.020164853,0.0361,0.004290394,0.0023
2021-12-01,0.044741125,-0.020804704,0.0356,0.006136261,0.0001
2017-07-01,0.020453678,-0.00707013,0.0017,-0.035265332,0.0007
2017-01-01,0.018931986,0.004100762,-0.0013,-0.010436116,0.0004
2015-01-01,-0.030092446,0.093010326,0.0262,0.033519548,0.0
2022-04-01,-0.087208509,-0.094595994,0.0157,0.011901925,0.0001
2017-12-01,0.01100185,0.017985579,0.0095,-0.040630058,0.0009
2013-09-01,0.03106949,0.001542114,0.0078,-0.036268352,0.0
2013-07-01,0.050729182,-0.020910202,0.0179,-0.013752865,0.0
2016-05-01,0.017774719,0.009153884,0.0229,0.040534143,0.0001
2013-10-01,0.045837546,0.014218841,0.0293,0.008493501,0.0
2012-12-01,0.009020356,-0.021600221,-0.0103,0.006421338,0.0001
2004-06-01,0.019282413,0.010092733,0.0256,0.005109988,0.0008
2012-01-01,0.04468554,-0.002762745,0.007,0.006927348,0.0
2017-04-01,0.010198943,0.015467416,0.0213,-0.022399926,0.0005
2017-08-01,0.002962923,0.036000204,-0.0007,-0.010118728,0.0009
2016-02-01,-0.001498387,0.031407098,-0.0066,0.059087174,0.0002
2007-11-01,-0.04180575,0.053568372,-0.0439,0.008149612,0.0034
2006-06-01,0.001343016,0.009483409,-0.0004,0.004660993,0.004
2009-06-01,0.002088982,0.008254084,0.0904,0.009389692,0.0001
2020-02-01,-0.082113073,0.068476657,-0.0361,0.028535442,0.0012
2003-11-01,0.008616032,0.005547336,0.0462,0.005815551,0.0007
2003-05-01,0.052370242,0.063789068,-0.0554,0.006938038,0.0009
2009-01-01,-0.084008726,-0.131206582,0.1203,0.015978512,0.0
2010-05-01,-0.079707614,0.051582587,-0.0054,0.011427986,0.0001
2010-12-01,0.066525472,-0.036730928,-0.0009,0.006325125,0.0001
2007-07-01,-0.031009868,0.031625231,-0.0069,0.008381236,0.004
2008-07-01,-0.008380707,-0.006276394,-0.0685,0.008174556,0.0015
2020-04-01,0.127956289,0.011387659,-0.0185,0.068314199,0.0
2013-05-01,0.023283664,-0.067728902,-0.0151,-0.010985744,0.0
2015-03-01,-0.015895721,0.011974718,0.0148,0.007238591,0.0
2012-08-01,0.022377779,-0.013059045,-0.009,0.006225348,0.0001
2019-09-01,0.018578164,-0.026575647,-0.0116,0.024779476,0.0018
2002-12-01,-0.058631098,0.043300992,0.1231,0.010198596,0.0011
2012-10-01,-0.018497788,-0.001217744,0.02,0.006628018,0.0001
2002-11-01,0.05848959,-0.008237538,-0.1444,0.009799489,0.0012
2022-03-01,0.036962114,-0.054304964,0.0199,0.007326454,0.0001
2020-11-01,0.10926587,0.012696907,-0.0502,0.007330018,0.0001
2020-12-01,0.038269712,-0.012549416,0.0523,0.00810685,0.0001
2003-02-01,-0.015054139,0.031419658,0.0181,0.010558503,0.0009
2006-09-01,0.025648406,0.019146033,-0.0029,0.004269014,0.0041
2004-08-01,0.003995661,0.04129123,0.0269,0.005448516,0.0011
2010-04-01,0.015744431,0.033216361,0.0147,0.007857408,0.0001
2004-10-01,0.015118984,0.016636994,0.0155,0.005797734,0.0011
2003-08-01,0.019238312,0.021393711,0.0038,0.006638708,0.0007
2021-11-01,-0.006951228,0.029186661,0.0059,0.009689022,0.0
2018-07-01,0.037036122,-0.015833369,-0.0045,-0.015404151,0.0016
2014-05-01,0.023274446,0.030076777,0.0107,-0.011968495,0.0
2006-03-01,0.012292813,-0.046632573,0.0083,0.00405877,0.0037
2021-10-01,0.069946631,0.023466439,0.013,0.005794171,0.0
2012-03-01,0.032705677,-0.042313161,0.039,0.005523348,0.0
2021-06-01,0.023308108,0.04360571,0.0018,0.005640942,0.0
2003-06-01,0.012551749,-0.020358586,0.0177,0.006955855,0.001
2011-09-01,-0.070295237,0.123423653,0.02,0.015308583,0.0
2022-06-01,-0.082241195,-0.014096717,0.0203,0.010230666,0.0006
2008-04-01,0.048581464,-0.023203397,-0.0203,0.007408414,0.0018
2016-04-01,0.003783392,-0.006139839,-0.0288,0.036507976,0.0001
2006-12-01,0.013955593,-0.027909222,0.025,0.004119349,0.004
2014-03-01,0.008318042,0.007774046,0.0159,-0.00031057,0.0
2003-01-01,-0.026300873,-0.003169213,0.0134,0.011107275,0.001
2010-06-01,-0.052391949,0.055239431,0.0226,0.012308158,0.0001
2015-09-01,-0.024806413,0.014986006,0.0565,0.04675647,0.0
2015-07-01,0.021030855,0.037299317,0.0563,0.008194629,0.0
2009-09-01,0.03705542,0.024525718,-0.0026,0.009125997,0.0001
2007-06-01,-0.016688605,-0.010568474,0.008,0.00578348,0.004
2012-11-01,0.005646068,0.013382821,-0.0135,0.005655196,0.0001
2014-07-01,-0.013789999,0.006475739,0.0092,-0.028778985,0.0
2010-08-01,-0.04499681,0.080807436,0.0163,0.009282788,0.0001
2005-11-01,0.037600894,0.00690562,-0.0006,0.004297521,0.0031
2016-11-01,0.036882844,-0.076983149,-0.015,0.035222638,0.0001
2006-10-01,0.032541698,0.008459182,0.0053,0.00395543,0.0041
2003-04-01,0.082126229,0.012661816,-0.036,0.007558078,0.001
2009-03-01,0.08737258,0.041257999,-0.0269,0.01572907,0.0002
2007-02-01,-0.019489462,0.035299562,0.0118,0.005494841,0.0038
2014-01-01,-0.034594797,0.059724951,0.0209,-0.013526026,0.0
2019-08-01,-0.015917157,0.108636159,0.024,0.044769699,0.0016
2021-01-01,-0.01015512,-0.037177782,0.1086,0.011791458,0.0001
2002-09-01,-0.108421259,0.044243076,0.0552,0.014143335,0.0014
2011-10-01,0.108947817,-0.045022984,-0.0597,0.010676097,0.0
2013-04-01,0.019138323,0.045038059,0.0168,0.004086118,0.0
2002-08-01,0.006500033,0.052089643,0.0314,0.011631102,0.0014
2013-06-01,-0.013392482,-0.033301532,0.0209,0.018669196,0.0
2007-12-01,-0.007046671,-0.00551928,-0.0261,0.008017764,0.0027
2006-04-01,0.013299434,-0.028224894,0.0124,0.004130039,0.0036
2018-12-01,-0.089785517,0.056075111,-0.0037,0.055358746,0.002
2013-08-01,-0.028890984,-0.007768443,-0.0037,-0.006995852,0.0
2014-10-01,0.024327206,0.029014774,0.0208,0.048762979,0.0
2007-05-01,0.034694208,-0.021570558,-0.0107,0.004650303,0.0041
2005-07-01,0.037059426,-0.030240958,0.0143,0.004122912,0.0024
2011-05-01,-0.011376802,0.037112297,0.0138,0.005505531,0.0
2011-07-01,-0.020373971,0.045269098,-0.0034,0.008997712,0.0
2013-12-01,0.025194085,-0.019713404,0.0027,-0.04751977,0.0
2005-10-01,-0.016719713,-0.021852165,-0.0219,0.005459206,0.0027
2019-01-01,0.079947087,0.006197835,-0.0057,0.045295773,0.0021
2011-01-01,0.023671035,-0.030909284,0.0304,0.006959419,0.0001
2010-07-01,0.069884107,-0.006525817,-0.0221,0.008374109,0.0001
2011-03-01,0.000461664,0.000659989,0.004,0.006321561,0.0001
2009-02-01,-0.105933198,-0.015426309,-0.0028,0.016516592,0.0001
2007-10-01,0.015759444,0.015647994,0.0032,0.006603074,0.0032
2020-01-01,-0.000493111,0.070209008,0.0433,0.009275282,0.0013
